date,description,amount,type,merchant,payment_method
2026-08-15,APOLLO PHARMACY PURCHASE,-1795,expense,Apollo Pharmacy,Cash
2026-08-16,OLA PURCHASE,-499,expense,Ola,Net Banking
2026-08-16,ELECTRICITY BOARD PURCHASE,-1940,expense,Electricity Board,Net Banking
2026-08-17,ZERODHA PURCHASE,-13466,expense,Zerodha,Credit Card
2026-08-17,OLA PURCHASE,-122,expense,Ola,Credit Card
2026-08-18,FLIPKART PURCHASE,-5694,expense,Flipkart,Credit Card
2026-08-20,MAKEMYTRIP PURCHASE,-7975,expense,MakeMyTrip,Debit Card
2026-08-20,NETFLIX PURCHASE,-201,expense,Netflix,Credit Card
2026-08-20,DMART PURCHASE,-2589,expense,DMart,Debit Card
2026-08-21,OLA PURCHASE,-433,expense,Ola,Cash
2026-08-21,IRCTC PURCHASE,-2982,expense,IRCTC,UPI
2026-08-22,ZERODHA PURCHASE,-19326,expense,Zerodha,Net Banking
2026-08-22,BIGBASKET PURCHASE,-2134,expense,BigBasket,Net Banking
2026-08-22,UBER PURCHASE,-573,expense,Uber,Net Banking
2026-08-24,STARBUCKS PURCHASE,-356,expense,Starbucks,Net Banking
2026-08-25,UBER PURCHASE,-428,expense,Uber,Cash
2026-08-29,ELECTRICITY BOARD PURCHASE,-1215,expense,Electricity Board,Debit Card
2026-09-01,SALARY CREDIT,73628,income,Acme Corp,Bank Transfer
2026-09-01,OLA PURCHASE,-404,expense,Ola,Debit Card
2026-09-01,BOOKMYSHOW PURCHASE,-816,expense,BookMyShow,Debit Card
2026-09-01,AIRTEL POSTPAID PURCHASE,-524,expense,Airtel Postpaid,UPI
2026-09-02,APOLLO PHARMACY PURCHASE,-2117,expense,Apollo Pharmacy,Net Banking
2026-09-02,NETFLIX PURCHASE,-242,expense,Netflix,Credit Card
2026-09-02,UBER PURCHASE,-430,expense,Uber,Debit Card
2026-09-03,MONTHLY RENT,-15920,expense,Landlord - Rent,Net Banking
2026-09-03,JIO FIBER PURCHASE,-722,expense,Jio Fiber,Credit Card
2026-09-04,OLA PURCHASE,-433,expense,Ola,Cash
2026-09-04,SWIGGY PURCHASE,-690,expense,Swiggy,Debit Card
2026-09-06,JIO FIBER PURCHASE,-1074,expense,Jio Fiber,Credit Card
2026-09-06,BOOKMYSHOW PURCHASE,-990,expense,BookMyShow,Credit Card
2026-09-07,LIC PREMIUM PURCHASE,-3327,expense,LIC Premium,Cash
2026-09-07,AMAZON PURCHASE,-2261,expense,Amazon,Net Banking
2026-09-08,AMAZON PURCHASE,-4540,expense,Amazon,Net Banking
2026-09-09,SWIGGY PURCHASE,-178,expense,Swiggy,Debit Card
2026-09-09,AIRTEL POSTPAID PURCHASE,-664,expense,Airtel Postpaid,Credit Card
2026-09-10,APOLLO PHARMACY PURCHASE,-1581,expense,Apollo Pharmacy,Debit Card
2026-09-10,STARBUCKS PURCHASE,-362,expense,Starbucks,UPI
2026-09-11,AIRTEL POSTPAID PURCHASE,-600,expense,Airtel Postpaid,Debit Card
2026-09-12,AIRTEL POSTPAID PURCHASE,-400,expense,Airtel Postpaid,Net Banking
2026-09-13,LIC PREMIUM PURCHASE,-2194,expense,LIC Premium,UPI
2026-09-13,BIGBASKET PURCHASE,-3414,expense,BigBasket,Credit Card
2026-09-13,UNKNOWN MERCHANT XYZ LARGE PURCHASE,-47982,expense,Unknown Merchant XYZ,Credit Card
2026-09-14,INDIAN OIL PETROL PUMP PURCHASE,-2277,expense,Indian Oil Petrol Pump,Debit Card
2026-09-14,STARBUCKS PURCHASE,-660,expense,Starbucks,Net Banking
2026-09-14,APOLLO PHARMACY PURCHASE,-1794,expense,Apollo Pharmacy,UPI
2026-09-15,INDIAN OIL PETROL PUMP PURCHASE,-1020,expense,Indian Oil Petrol Pump,UPI
2026-09-16,MAKEMYTRIP PURCHASE,-17248,expense,MakeMyTrip,Credit Card
2026-09-17,ZERODHA PURCHASE,-12482,expense,Zerodha,Credit Card
2026-09-17,ELECTRICITY BOARD PURCHASE,-3045,expense,Electricity Board,Credit Card
2026-09-17,SWIGGY PURCHASE,-164,expense,Swiggy,UPI
2026-09-18,DMART PURCHASE,-1197,expense,DMart,Credit Card
2026-09-20,AMAZON PURCHASE,-2699,expense,Amazon,Cash
2026-09-20,FLIPKART PURCHASE,-5104,expense,Flipkart,Debit Card
